"OriginalName","Organizations","Type","CleanName","CleanNameNoMiddle","IsDuplicate",
"Stovel, Gordon F.","Canada Foundation for Innovation","Govenor In Council Appointments","Stovel, Gordon","Stovel, Gordon","n",
"Swerdfager, Trevor M.","Great Lakes Fishery Commission","Govenor In Council Appointments","Swerdfager, Trevor","Swerdfager, Trevor","n",
"Tannis, Ralph G.","Competition Tribunal","Govenor In Council Appointments","Tannis, Ralph","Tannis, Ralph","n",
"Tartaglia, Anna T.","Buffalo and Fort Erie Public Bridge Authority","Govenor In Council Appointments","Tartaglia, Anna","Tartaglia, Anna","n",
"Thomas, David L.","Canadian Human Rights Tribunal","Govenor In Council Appointments","Thomas, David","Thomas, David","n",
"Tims, Michael J.","National Gallery of Canada","Govenor In Council Appointments","Tims, Michael","Tims, Michael","n",
"Tratch, Shelley M.","Canada Deposit Insurance Corporation","Govenor In Council Appointments","Tratch, Shelley","Tratch, Shelley","n",
"Vandenberg, Margaret S.","Canadian Museum for Human Rights","Govenor In Council Appointments","Vandenberg, Margaret","Vandenberg, Margaret","n",
"Vanexan, Peter D.","National Research Council of Canada","Govenor In Council Appointments","Vanexan, Peter","Vanexan, Peter","n",
"Vézina, Alain F.","International Council for the Exploration of the Sea","Govenor In Council Appointments","Vézina, Alain","Vézina, Alain","n",1
"Walker, Gordon W.","International Joint Commission","Govenor In Council Appointments","Walker, Gordon","Walker, Gordon","n",
"Walker, Harriet E.","National Gallery of Canada","Govenor In Council Appointments","Walker, Harriet","Walker, Harriet","n",
"Wilband, Robert C.","Canadian Museum of History","Govenor In Council Appointments","Wilband, Robert","Wilband, Robert","n",
"Wilson, Michael H.","Canadian Institutes of Health Research","Govenor In Council Appointments","Wilson, Michael","Wilson, Michael","n",
"Woodhouse, Kimberly A.","Natural Sciences and Engineering Research Council","Govenor In Council Appointments","Woodhouse, Kimberly","Woodhouse, Kimberly","n",
"Bird, J.W. Bud","North Atlantic Salmon Conservation Organization","Govenor In Council Appointments","Bird, Bud","Bird, Bud","n",
"Bryan, J. Dena","Canadian Human Rights Tribunal","Govenor In Council Appointments","Bryan,Dena","Bryan,Dena","n",
"Smith, J. Douglas","Great Lakes Pilotage Authority","Govenor In Council Appointments","Smith, Douglas","Smith, Douglas","n",
"Kroon, G. Howard","National Gallery of Canada","Govenor In Council Appointments","Kroon, Howard","Kroon, Howard","n",
"Pinto, B. Mario","Natural Sciences and Engineering Research Council","Govenor In Council Appointments","Pinto, Mario","Pinto, Mario","n",
"Player, K. Scott","Canadian Commercial Corporation","Govenor In Council Appointments","Player, Scott","Player, Scott","n",
"Landry, J. Nelson","Copyright Board","Govenor In Council Appointments","Landry, Nelson","Landry, Nelson","n",
"Machum, D. Geoffrey","Halifax Port Authority","Govenor In Council Appointments","Machum, Geoffrey","Machum, Geoffrey","n",
"Sunley, W.J. Sterling","Immigration and Refugee Board","Govenor In Council Appointments","Sunley, Sterling","Sunley, Sterling","n",
"Russon, G. Neil","National Museum of Science and Technology","Govenor In Council Appointments","Russon, Neil","Russon, Neil","n",
"Lavigne, A. Michel","Canada Post Corporation","Govenor In Council Appointments","Lavigne, Michel","Lavigne, Michel","n",
"O'Brien, H. Leslie","Canadian Securities Regulation Regime Transition Office","Govenor In Council Appointments","O'Brien, Leslie","O'Brien, Leslie","n",
"Rafferty, J. Pauline","Canadian Museum for Human Rights","Govenor In Council Appointments","Rafferty, Pauline","Rafferty, Pauline","n",
"Dwor, Mark S.","Canada Revenue Agency","Govenor In Council Appointments","Dwor, Mark","Dwor, Mark","n",
"Hik, David S.","Canadian High Arctic Research Station","Govenor In Council Appointments","Hik, David","Hik, David","n",
"Duke, Nora M.","Canadian Tourism Commission","Govenor In Council Appointments","Duke, Nora","Duke, Nora","n",
"Lee, David P.F.","Immigration and Refugee Board","Govenor In Council Appointments","Lee, David","Lee, David","n",
"Pemberton, F. George","Immigration and Refugee Board","Govenor In Council Appointments","Pemberton, George","Pemberton, George","n",
"Muir, Hugh R.","Military Police Complaints Commission","Govenor In Council Appointments","Muir, Hugh","Muir, Hugh","n",
"Baay, Paul R.","National Gallery of Canada","Govenor In Council Appointments","Baay, Paul","Baay, Paul","n",
"Kustan, Ed H.","Natural Sciences and Engineering Research Council","Govenor In Council Appointments","Kustan, Ed","Kustan, Ed","n",
"Bloom, Glen A.","Canadian Cultural Property Export Review Board","Govenor In Council Appointments","Bloom, Glen","Bloom, Glen","n",
"King, Janet E.","Canadian High Arctic Research Station","Govenor In Council Appointments","King, Janet","King, Janet","n",
"Mintz, Judy C.","Canadian Human Rights Commission","Govenor In Council Appointments","Mintz, Judy","Mintz, Judy","n",
"Pannu, Alex G.","Canadian Human Rights Tribunal","Govenor In Council Appointments","Pannu, Alex","Pannu, Alex","n",
"Ngo, Phuong T.V.","Canadian Museum of Immigration at Pier 21","Govenor In Council Appointments","Ngo, Phuong","Ngo, Phuong","n",
"White, Judy A.","First Nations Financial Management Board","Govenor In Council Appointments","White, Judy","White, Judy","n",
"Lowe, David J.","Immigration and Refugee Board","Govenor In Council Appointments","Lowe, David","Lowe, David","n",
"Sandhu, Ken S.","Immigration and Refugee Board","Govenor In Council Appointments","Sandhu, Ken","Sandhu, Ken","n",
"Desjardins, C. David","National Museum of Science and Technology","Govenor In Council Appointments","Desjardins, David","Desjardins, David","n",
"McLaughlin, E. Virginia I.","National Museum of Science and Technology","Govenor In Council Appointments","McLaughlin, Virginia","McLaughlin, Virginia","n",
"Aymar, Alisa L.","Atlantic Pilotage Authority","Govenor In Council Appointments","Aymar, Alisa","Aymar, Alisa","n",
"Laird, Nancy M.","Business Development Bank of Canada","Govenor In Council Appointments","Laird, Nancy","Laird, Nancy","n",
"Jang, Howard R.","Canada Council for the Arts","Govenor In Council Appointments","Jang, Howard","Jang, Howard","n",
"Smith, Kevin P.D.","Canada Foundation for Innovation","Govenor In Council Appointments","Smith, Kevin","Smith, Kevin","n",
"Daw, Richard J.","Canada Revenue Agency","Govenor In Council Appointments","Daw, Richard","Daw, Richard","n",
"Boyd, Edward W.","Canadian Broadcasting Corporation","Govenor In Council Appointments","Boyd, Edward","Boyd, Edward","n",
"Serbu, Kelly J.","Canadian Human Rights Commission","Govenor In Council Appointments","Serbu, Kelly","Serbu, Kelly","n",
"Fleck, James D.","Canadian Museum of History","Govenor In Council Appointments","Fleck, James","Fleck, James","n",
"Hachey, John V.","Canadian Museum of Immigration at Pier 21","Govenor In Council Appointments","Hachey, John","Hachey, John","n",
"Klohn, Peter M.","Canadian Securities Regulation Regime Transition Office","Govenor In Council Appointments","Klohn, Peter","Klohn, Peter","n",
"Pash, Gerald W.","Citizenship Commission","Govenor In Council Appointments","Pash, Gerald","Pash, Gerald","n",
"McPhail, Ian D.C.","Civilian Review and Complaints Commission for the Royal Canadian Mounted Police","Govenor In Council Appointments","McPhail, Ian","McPhail, Ian","n",
"Luongo, Elio R.","Competition Tribunal","Govenor In Council Appointments","Luongo, Elio","Luongo, Elio","n",
"Kular, Susan S.","Immigration and Refugee Board","Govenor In Council Appointments","Kular, Susan","Kular, Susan","n",
"Doody, James G.","Marine Atlantic Inc.","Govenor In Council Appointments","Doody, James","Doody, James","n",
"Henley, John J.","Marine Atlantic Inc.","Govenor In Council Appointments","Henley, John","Henley, John","n",
"Glass, Susan J.","National Arts Centre Corporation","Govenor In Council Appointments","Glass, Susan","Glass, Susan","n",
"Lowe, Carmel P.","North Pacific Anadromous Fish Commission","Govenor In Council Appointments","Lowe, Carmel","Lowe, Carmel","n",
"Pecman, John R.","Office of the Commissioner of Competition","Govenor In Council Appointments","Pecman, John","Pecman, John","n",
"Currie, Peter W.","Atomic Energy of Canada Limited","Govenor In Council Appointments","Currie, Peter","Currie, Peter","n",
"Duboc, Samuel L.","Business Development Bank of Canada","Govenor In Council Appointments","Duboc, Samuel","Duboc, Samuel","n",
"Foy, Beverley K.","Canada Council for the Arts","Govenor In Council Appointments","Foy, Beverley","Foy, Beverley","n",
"Davies, Bryan P.","Canada Deposit Insurance Corporation","Govenor In Council Appointments","Davies, Bryan","Davies, Bryan","n",
"Morin, Gilles M.-J.","Laurentian Pilotage Authority","Govenor In Council Appointments","Morin, Gilles","Morin, Gilles","n",
"Pelletier, Marie-France","Administrative Tribunals Support Service of Canada","Govenor In Council Appointments","Pelletier, Marie-France","Pelletier, Marie-France","n",
"Monet, Jacques","Advisory Committee on Vice-Regal Appointments","Govenor In Council Appointments","Monet, Jacques","Monet, Jacques","n",
"Gower, Neil","Arbitration Board (Inuvialuit)","Govenor In Council Appointments","Gower, Neil","Gower, Neil","n",
"Iatridis, Gloria","Arbitration Board (Inuvialuit)","Govenor In Council Appointments","Iatridis, Gloria","Iatridis, Gloria","n",
"Lal, Stindar","Arbitration Board (Inuvialuit)","Govenor In Council Appointments","Lal, Stindar","Lal, Stindar","n",
"Lamarche, Serge","Arbitration Board (Inuvialuit)","Govenor In Council Appointments","Lamarche, Serge","Lamarche, Serge","n",
"Williams, Jack","Arbitration Board (Inuvialuit)","Govenor In Council Appointments","Williams, Jack","Williams, Jack","n",
"Shantz, Graham","Asia-Pacific Foundation of Canada","Govenor In Council Appointments","Shantz, Graham","Shantz, Graham","n",
"Griffiths, Sean","Atlantic Pilotage Authority","Govenor In Council Appointments","Griffiths, Sean","Griffiths, Sean","n",
"Hall, James","Atomic Energy of Canada Limited","Govenor In Council Appointments","Hall, James","Hall, James","n",
"Josey, Gregory","Atomic Energy of Canada Limited","Govenor In Council Appointments","Josey, Gregory","Josey, Gregory","n",
"Lajeunesse, Claude","Atomic Energy of Canada Limited","Govenor In Council Appointments","Lajeunesse, Claude","Lajeunesse, Claude","n",
"Auditor General of Canada","Atomic Energy of Canada Limited,æAtlantic Pilotage Authority,æBusiness Development Bank of Canada,Canadian Broadcasting Corporation,æCanadian Commercial Corporation,æCanada Council for the Arts,æCanadian Dairy Commission,æCanada Development Investment Corporation,æCanada Deposit Insurance Corporation,æCanada Lands Company Limited,æCanadian Museum of History,Canada Mortgage and Housing Corporation,Canadian Museum for Human Rights,æCanadian Museum of Nature,æCanada Post Corporation,National Museum of Science and Technology,Canadian Tourism Commission,æDefence Construction (1951) Limited,æExport Development Canada,æFarm Credit Canada,æTelefilm Canada,Freshwater Fish Marketing Corporation,æGreat Lakes Pilotage Authority,æInternational Development Research Centre,æJacques Cartier and Champlain Bridges Incorporated (The),æLaurentian Pilotage Authority,æMarine Atlantic Inc.,æRoyal Canadian Mint,æNational Arts Centre Corporation,National Capital Commission,æNational Gallery of Canada,æPPP Canada Inc.,æPacific Pilotage Authority,æRidley Terminals Inc.,æCanadian Race Relations Foundation,æStandards Council of Canada,æPublic Sector Pension Investment Board,VIA Rail Canada Inc.,æWindsor-Detroit Bridge Authority","Govenor In Council Appointments","Auditor General of Canada","Auditor General of Canada","n",
"Hamilton, Bob","Atomic Energy of Canada Limited,æEnergy Supplies Allocation Board,æNorthern Pipeline Agency,Northern Pipeline Agency - Federal-Provincial Consultative Council,æPublic Service Pension Advisory Committee","Govenor In Council Appointments","Hamilton, Bob","Hamilton, Bob","n",
"Betts, Norman","Bank of Canada","Govenor In Council Appointments","Betts, Norman","Betts, Norman","n",
"Borger, Alan","Bank of Canada","Govenor In Council Appointments","Borger, Alan","Borger, Alan","n",
"Clark, Phyllis","Bank of Canada","Govenor In Council Appointments","Clark, Phyllis","Clark, Phyllis","n",
"Dodds, Colin","Bank of Canada","Govenor In Council Appointments","Dodds, Colin","Dodds, Colin","n",
"Jerome-Forget, Monique","Bank of Canada","Govenor In Council Appointments","Jerome-Forget, Monique","Jerom-Forget, Monique","n",
"Kennedy, Claire","Bank of Canada","Govenor In Council Appointments","Kennedy, Claire","Kennedy, Claire","n",
"Key, Derek","Bank of Canada","Govenor In Council Appointments","Key, Derek","Key, Derek","n",
"Khosrowshahi, Hassan","Bank of Canada","Govenor In Council Appointments","Khosrowshahi, Hassan","Khosrowshahi, Hassan","n",
"Simon, Jean","Bank of Canada","Govenor In Council Appointments","Simon, Jean","Simon, Jean","n",
"Stewart, Greg","Bank of Canada","Govenor In Council Appointments","Stewart, Greg","Stewart, Greg","n",
"Sullivan, Martin","Bank of Canada","Govenor In Council Appointments","Sullivan, Martin","Sullivan, Martin","n",
"Wilkins, Carolyn","Bank of Canada","Govenor In Council Appointments","Wilkins, Carolyn","Wilkins, Carolyn","n",
"Rochon, Paul","Bank of Canada,æCanada Deposit Insurance Corporation,æCanada Mortgage and Housing Corporation","Govenor In Council Appointments","Rochon, Paul","Rochon, Paul","n",
"Ernst & Young LLP","Bank of Canada,æCanada Mortgage and Housing Corporation","Govenor In Council Appointments","Ernst & Young LLP","Ernst & Young LLP","n",
"Buttimer, Alberta","Belledune Port Authority","Govenor In Council Appointments","Buttimer, Alberta","Buttimer, Alberta","n",
"Cormier, Léo","Belledune Port Authority","Govenor In Council Appointments","Cormier, Léo","Cormier, Léo","n",1
"Keeley, Danika","Belledune Port Authority","Govenor In Council Appointments","Keeley, Danika","Keeley, Danika","n",
"Kyle, Barry","Belledune Port Authority","Govenor In Council Appointments","Kyle, Barry","Kyle, Barry","n",
"Lampert, Jerry","British Columbia Treaty Commission","Govenor In Council Appointments","Lampert, Jerry","Lampert, Jerry","n",
"Colling, Paul","Buffalo and Fort Erie Public Bridge Authority","Govenor In Council Appointments","Colling, Paul","Colling, Paul","n",
"Vacca, Rocco","Buffalo and Fort Erie Public Bridge Authority","Govenor In Council Appointments","Vacca, Rocco","Vacca, Rocco","n",
"Boyko, Eric","Business Development Bank of Canada","Govenor In Council Appointments","Boyko, Eric","Boyko, Eric","n",
"Calyniuk, Michael","Business Development Bank of Canada","Govenor In Council Appointments","Calyniuk, Michael","Calyniuk, Michael","n",
